"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","UI","1","0","SauceDemo Login","0"
"0","","0","UI","1","0","SauceDemo - Checkout","0"
"0","","0","UI","1","0","Automation Exercise Home","0"
"0","","0","UI","1","0","SauceDemo - Locked Out User","0"
"0","","0","UI","1","0","SauceDemo Login Fixture","0"
"0","","0","Performance","1","0","Automation Exercise Home Page","0"
"0","","0","Performance","1","0","SauceDemo Login Page","0"
"0","","0","API","0","1","ReqRes - Users","0"
"0","","0","UI","1","0","SauceDemo - Add To Cart","0"
"0","","0","API","1","0","JSONPlaceholder - Posts","0"
